Ticket ID,Epic,Sprint,Team,Priority,Story Points,Title,Goal,Description,Dependencies,Acceptance Criteria,Test Notes,Done When,Status,Owner,Started At,Completed At,Commit Ref,Tracking Notes
SET-001,EPIC-0,Sprint 0,Platform,P0,5,"Bootstrap monorepo with client, api, worker, shared packages",Create a clean modular monorepo that scales without repo churn.,"Set up pnpm workspace with client, server/api, server/worker, packages/contracts, packages/shared-types, packages/shared-utils, packages/eslint-config, packages/tsconfig. Add TypeScript project references, path aliases, env loading, and base scripts.",None,"Repository structure matches design doc. | pnpm install, lint, test, typecheck, and build commands work from repo root. | Mobile, API, and worker apps can run independently in dev mode. | Shared packages can be imported without circular references. | README has bootstrap steps for a new developer.",Smoke-test root scripts on clean machine/container; verify TS path aliases and builds.,Merged with CI green and bootstrap documented.,done,codex,2026-03-13,2026-03-13,pending-local-commit,Validation passed; API smoke check used port 3100 because port 3000 was already occupied locally.
SET-002,EPIC-0,Sprint 0,DevEx,P0,3,Set up CI/CD gates and branch protections,Prevent broken code from merging and standardize release quality.,"Configure GitHub Actions for install, lint, typecheck, unit tests, OpenAPI lint, and changed-package detection. Add branch protection expectations and PR template.",SET-001,"PR workflow runs on every pull request. | Main branch requires passing checks before merge. | PR template asks for scope, test evidence, screenshots, risk, and rollback. | Conventional commit validation runs on PR titles or commit messages.",Open a test PR and verify required checks block merge on failure.,CI required for main branch; docs updated.,blocked,codex,2026-03-13,,pending-local-commit,Closeout verification found local .git and origin but main has no commits, git ls-remote origin returns no refs, GitHub web access to the repo returns 404 unauthenticated, and this environment has neither gh nor GH_TOKEN/GITHUB_TOKEN. PR workflow runs and main branch protection therefore could not be verified.
SET-003,EPIC-0,Sprint 0,Design Systems,P1,5,Create mobile design system tokens and UI primitives,"Ensure consistent UI, dark mode, and future theming without repeated redesign.","Define spacing, typography, radius, elevation, semantic colors, icon sizes, and motion tokens. Build base components: AppShell, Button, Card, ListItem, BottomSheet, TextField, Chip, EmptyState, SectionHeader, KPIBlock.",SET-001,Tokens exist in one shared package and are consumed by the mobile app. | Base components support light and dark themes. | Components meet accessible touch target sizes. | Example showcase screen demonstrates all primitives.,Snapshot tests for primitives; manual accessibility review.,UI primitives documented and ready for feature teams.,done,codex,2026-03-26,2026-03-26,pending-local-commit,"Repo truth: `@upi-spend-tracker/mobile-ui` now owns the shared light/dark theme tokens and base primitives, the Expo client consumes those primitives and tokenized colors, Home exposes a showcase screen for the full primitive set, and snapshot plus app-flow tests cover the shared UI package."
SET-004,EPIC-0,Sprint 0,Architecture,P0,5,Implement database migration framework for mobile SQLite and server PostgreSQL,Make schema changes safe and repeatable across environments.,"Create migration runners, seed strategy, schema version tracking, rollback guidance, and local developer scripts for both mobile SQLite and server PostgreSQL.",SET-001,Both mobile and server DBs can initialize from empty state using migrations only. | Migrations are idempotent and ordered. | Rollback or forward-fix guidance exists in docs. | CI validates pending migrations.,Run migrations from empty DB and on existing DB with prior version; verify schema hash.,Migration workflow documented and validated.,done,codex,2026-03-26,2026-03-26,pending-local-commit,"Repo truth: mobile and server now initialize through ordered migration manifests with schema version tracking, the client persistence path applies mobile migrations before reads/writes and can adopt older untracked local schemas, `pnpm db:validate` validates empty-state and legacy upgrade paths, and `pnpm ci:verify` now enforces DB validation in CI."
SET-005,EPIC-0,Sprint 0,Product/Architecture,P1,3,"Add repo-level AGENTS.md, PLANS.md, and code review workflow for Codex",Make AI-assisted implementation consistent and repo-aware.,"Author AGENTS.md with repo map, commands, conventions, safety rules, and done criteria. Add PLANS.md execution-plan template and code-review checklist reference.",SET-001,"AGENTS.md is concise, accurate, and points to deeper docs instead of duplicating them. | PLANS.md template can be copied for any major task. | Docs explain when Codex should plan first vs implement directly. | Workflow explicitly requires tests and diff review before merge.",Run a dry-run with an AI coding agent and confirm instructions are discoverable.,Docs merged and linked from README.,done,codex,2026-03-25,2026-03-25,pending-local-commit,AGENTS.md and PLANS.md exist at the repo root; contributor expectations are documented; and README now links directly to both files plus the project phase-status audit.
SET-006,EPIC-0,Sprint 1,Platform,P0,5,Implement feature flags and remote parser config,Ship parser fixes and staged rollout safely without forcing native releases for every tweak.,"Build bootstrap config endpoint, mobile cache layer, config TTL, signature/version checks, kill switches, parser templates, and staged rollout support by version/channel.","SET-001, SET-004",Mobile loads cached config instantly and refreshes in background. | Config can disable a parser or feature remotely. | Stale config fallback exists and is observable. | Parser template changes do not require mobile code edits when format is supported.,"Simulate old config, invalid signature, and network loss; verify safe fallback.",Remote config live in dev and test environments.,done,codex,2026-03-26,2026-03-26,pending-local-commit,Added the first live signed bootstrap-config endpoint shared bootstrap DTOs and integrity helpers a client-side cached bootstrap refresh loop with stale-safe fallback observability and app-level feature-flag parser-template status while keeping repo validation green.
CAP-001,EPIC-1,Sprint 1,Android Native,P0,8,Build Android NotificationListenerService and allowlist controls,Observe supported payment notifications only after explicit user opt-in.,"Create native Android service to receive notifications, filter by allowed packages, and persist raw payload snapshots needed for parsing. Add onboarding checks and diagnostics.",SET-001,Service receives notifications from allowlisted apps only. | User can turn individual source apps on or off. | Permission state is reflected correctly in UI. | No unsupported package is parsed or stored.,Instrumented tests for listener callbacks and allowlist filtering; manual tests with sample apps.,Notification listener stable on supported Android versions.,done,codex,2026-03-26,2026-03-27,pending-local-commit,"Repo truth: CAP-001 now has a native Android listener service, allowlist filtering, raw snapshot persistence, a React Native diagnostics bridge, permission-state reflection in UI, and connected Android instrumentation coverage. On 2026-03-27 the attached Android 13 device accepted the androidTest APK and `./gradlew :app:connectedDebugAndroidTest` passed with 3 tests, clearing the prior install-policy blocker and closing the ticket."
CAP-002,EPIC-1,Sprint 1,Android Native,P0,8,Implement parser registry with package-specific and generic parsers,Convert raw notification text into structured payment events.,"Define parser interface, package-specific parsers for launch apps, generic regex/token parser fallback, parser versioning, and parser fixtures. Expose confidence, parse errors, and raw-field provenance.","CAP-001, SET-006","Registry tries package-specific parser first, then generic parser. | Parsers return amount, merchant raw text, timestamp, source app, and parser confidence where available. | Failures are captured with reason codes, not silent drops. | Fixture-based tests cover success and failure cases.",Fixture suite with at least 30 notification variants; regression tests for parser updates.,Structured capture events generated with auditable parse provenance.,done,codex,2026-03-27,2026-03-27,pending-local-commit,"CAP-002 now ships a native parser registry with package-specific parsers for Google Pay, PhonePe, Paytm, and BHIM plus generic fallback parsing, structured parse provenance, reason-coded failures, and parser-result persistence alongside raw snapshots. The parser fixture suite covers 30-plus variants, Android unit tests passed, and `./gradlew :app:connectedDebugAndroidTest` passed on the attached Android 13 device with 4 connected tests, closing the ticket without spilling into dedupe or Room-repository scope."
CAP-003,EPIC-1,Sprint 1,Android Native,P0,5,Implement capture dedupe and replay protection,"Prevent duplicate transaction prompts caused by retries, grouped notifications, or app re-posts.","Create exact and fuzzy dedupe hashes using package, merchant, amount, time bucket, and optional reference hints. Add configurable thresholds and duplicate counters.",CAP-002,"Exact duplicates are suppressed automatically. | Near-duplicate events inside threshold are linked, not re-prompted. | Dedupe decisions are debuggable in diagnostics. | Thresholds can be tuned via config.",Replay same notification payloads and verify single capture record; near-duplicate simulation tests.,Duplicate prompts reduced to agreed threshold in QA.,blocked,codex,2026-03-27,,pending-local-commit,"CAP-003 now has repo-side exact/fuzzy dedupe, bootstrap-delivered thresholds, duplicate counters, Android diagnostics wiring, a JVM deduper test suite, and replay/integration coverage. On 2026-03-27 adb devices again showed the physical device e342703, ./gradlew :app:testDebugUnitTest passed, and pnpm db:validate, pnpm lint, pnpm typecheck, pnpm test, and pnpm build all passed. The closeout remains blocked because ./gradlew :app:connectedDebugAndroidTest still failed while installing app-debug.apk on M2102J20SI - 13 with INSTALL_FAILED_USER_RESTRICTED: Install canceled by user."
CAP-004,EPIC-1,Sprint 1,Android Native,P0,5,Create native capture database and repository layer,Persist capture events reliably even when JS runtime is not active.,"Use Room for capture_events, capture_replies, and sync markers. Add repository methods for insert, update state, fetch pending, and pruning.","SET-004, CAP-001",Raw capture and parsed fields persist across process death and reboot. | Repository is thread-safe and test-covered. | Retention policy can prune old raw data without deleting classified domain data.,Kill/restart process during capture flow and verify event persistence.,Capture DB stable and integrated into native services.,blocked,codex,2026-03-27,,pending-local-commit,"CAP-004 now has a Room-backed native capture repository, schema migrations from legacy snapshot storage, repository methods for insert/state updates/pending fetch/reply and sync-marker persistence, retention-safe raw payload pruning, and a connected-Android repository instrumentation suite. ./gradlew :app:testDebugUnitTest, pnpm db:validate, pnpm lint, pnpm typecheck, pnpm test, and pnpm build passed, but ./gradlew :app:connectedDebugAndroidTest could not execute on 2026-03-27 because adb devices returned no connected devices."
CAP-005,EPIC-1,Sprint 2,Android Native,P0,8,"Build quick-classify notification with direct reply, split, and skip actions",Let users classify a spend in one interaction without opening the app.,"Post app-owned actionable notifications for new payments with inline text reply, open-app classify action, split action, and skip action. Respect lockscreen privacy settings.",CAP-004,New capture triggers one actionable notification. | Inline text reply stores an item label and routes classification flow. | Skip action suppresses re-prompting according to policy. | Notifications hide sensitive text on lockscreen when privacy mode is on.,Manual notification action tests on supported Android versions; instrumented receiver tests.,One-tap classification path works end to end.,todo,,,,,
CAP-006,EPIC-1,Sprint 2,Mobile Platform,P1,5,Bridge native capture events into React Native store safely,Make captured transactions visible in JS UI without depending on JS for the critical path.,"Create TurboModule or native bridge to query capture inbox, subscribe to safe updates, and import captured events into domain tables.",CAP-004,JS can fetch pending capture events on launch. | Native errors do not crash JS app. | Capture import is idempotent.,Launch app after multiple native captures; verify no duplicate imports.,Native-to-JS bridge documented and reliable.,todo,,,,,
CAP-007,EPIC-1,Sprint 2,Android Native,P1,3,"Add diagnostics screen for source app status, parser version, and recent capture logs",Shorten support and QA cycles when capture fails on real devices.,"Expose safe diagnostics in settings: listener permission state, allowlisted apps, parser versions, last successful capture, recent parse failures, and exportable redacted debug bundle.","CAP-002, CAP-004","QA can verify whether failure is permission, parser, or dedupe related. | Debug export redacts sensitive content by default. | Diagnostics are accessible without developer mode.",Manual QA checklist with forced failure scenarios.,Support-ready diagnostics available.,todo,,,,,
UX-001,EPIC-2,Sprint 2,Mobile App,P0,5,Implement onboarding and permission education flow,"Explain value, privacy, and setup clearly so users can complete Android capture onboarding.","Build onboarding with value proposition, privacy disclosure, notification access setup, allowlisted app selection, budget-cycle selection, and local-only vs sync mode choice.","SET-003, CAP-001",Onboarding can be resumed after app exit. | User sees why notification access is needed before system settings open. | User can continue in local-only mode without account. | Setup completion state is stored and recoverable.,"User-flow tests across fresh install, partial completion, and denied permissions.","Onboarding meets product, legal, and UX approval.",done,codex,2026-03-25,2026-03-25,pending-local-commit,"Onboarding now covers value and privacy education, notification settings handoff, local source-app selection, budget-cycle choice, sync preference, and resumable saved progress in SQLite-backed settings. Real permission-state checks remain open under later capture or diagnostics tickets."
UX-002,EPIC-2,Sprint 2,Mobile App,P0,5,Build home dashboard with current-period KPIs and inbox summary,Give users immediate clarity on spend and incomplete work.,"Create dashboard showing total spend, budget progress, top categories, top merchants, top items, and uncategorized count. Add quick actions for manual add, inbox, budgets, and search.",SET-003,Dashboard renders from local DB without network. | Current period respects user-configured cycle. | Empty states guide first-time users.,Snapshot and interaction tests; verify KPI math with seeded data.,Dashboard is production-ready and performance-budget compliant.,done,codex,2026-03-25,2026-03-25,pending-local-commit,"Home now renders cycle-aware local summary math, budget progress, top items, recent activity preview, and honest quick-action entrypoints for budgets and search. Actual budget creation, search screens, and deeper performance hardening remain separate follow-up work."
UX-003,EPIC-2,Sprint 2,Mobile App,P0,8,Create Inbox for uncategorized and partially classified transactions,Make skipped or ambiguous transactions easy to recover later.,"Build list and filter views for uncategorized payments, partially split transactions, and conflict items. Support swipe or tap actions for classify, split, skip, delete, and create rule.","CAP-006, UX-002","Inbox updates instantly after classification actions. | User can filter by source app, merchant, amount range, and age. | Skipped items can be revisited manually. | List scales to at least 1,000 local transactions without jank.",Seeded-data performance test and classification action tests.,Inbox accepted by product for daily-use flow.,done,codex,2026-03-25,2026-03-25,pending-local-commit,"Repo truth: Inbox now supports local filters for status, merchant, source app, amount, and age; skipped items can be revisited; delete and classify actions update local state instantly; and a seeded 1,000-item test now covers the tuned FlatList path for larger local review queues. Partial/conflict views plus split/create-rule workflows remain later follow-up scope."
UX-004,EPIC-2,Sprint 3,Mobile App,P0,8,Build quick-classify bottom sheet and manual add flow,Provide the fastest full-screen classification path when notification reply is not enough.,"Create bottom sheet with item name, category chips, amount preview, merchant preview, save-as-rule toggle, and save/skip controls. Add manual transaction entry using same form primitives.","UX-003, INT-003",Classification can be completed in under 3 taps after opening sheet for common cases. | Item suggestions and categories are visible above keyboard. | Manual add path reuses the same validation rules as captured spends.,Usability walkthrough and form validation tests.,Quick-classify flow ready for beta.,done,codex,2026-03-25,2026-03-25,pending-local-commit,"Quick classify now renders as a bottom sheet, retains the suggestion-led two-tap common path, keeps save/skip/split-later controls in the sheet, and manual add still reuses the same validation primitives. Durable reusable rules remain separate INT-003 work, and captured-spend integration remains a later follow-up."
UX-005,EPIC-2,Sprint 3,Mobile App,P0,8,Implement split-items screen and remainder handling,Support one payment mapping to multiple items or categories.,"Allow users to create multiple line items per transaction, auto-sum totals, show remaining amount, and classify remainder as tip, tax, fees, or unknown.",UX-004,"User can add, edit, reorder, and delete split rows. | Payment total mismatch is clearly shown before save. | Remainder can be explicitly assigned or left as unknown. | Partially classified transactions remain visible in Inbox.","Edge-case tests for rounding, zero remainder, and over-allocation.",Split-flow accepted by QA and design.,in_progress,codex,2026-03-27,,pending-local-commit,"Repo truth: the client now has a full-screen split-items flow with dynamic rows, local reorder/remove/add controls, running allocated-vs-remaining totals, explicit remainder handling, and Inbox visibility for partially classified transactions. pnpm db:validate, pnpm lint, pnpm typecheck, pnpm test, and pnpm build passed on 2026-03-27. Status stays in_progress because the backlog done-when still requires external QA/design acceptance, which was not performed in this environment."
UX-006,EPIC-2,Sprint 3,Mobile App,P1,5,"Build timeline, transaction detail, and search/filter views",Let users audit history and correct mistakes confidently.,"Create daily timeline list, transaction detail view with audit history, and search by merchant, item, category, or note. Add filters for date, amount, source app, and status.",UX-003,"Search returns relevant results from local DB quickly. | Transaction detail shows source, parser, edits, and classification history. | User can edit or delete transactions with clear confirmation.",Search accuracy and edit-flow tests on seeded dataset.,History flows stable and discoverable.,done,codex,2026-03-27,2026-03-27,pending-local-commit,"Repo truth: Timeline now reads local SQLite-backed transaction records with parser metadata, saved notes, grouped day sections, and classification/audit history. Transaction detail shows source, parser context, edits, and history; search now covers merchant, item, category, and note; note saves persist locally; and clear edit/delete confirmation remains in place. `pnpm db:validate`, `pnpm lint`, `pnpm typecheck`, `pnpm test`, and `pnpm build` passed on 2026-03-27."
UX-007,EPIC-2,Sprint 3,Mobile App,P1,5,"Implement settings, privacy mode, export entrypoints, and diagnostics access","Give users control over capture, privacy, and support-friendly actions.","Add settings for source apps, privacy mode, budget cycle, sync mode, export, debug diagnostics, and app lock placeholders if included. Link diagnostics screen from CAP-007.","CAP-007, UX-001",Settings changes persist locally and sync when applicable. | Privacy mode affects lockscreen and app previews consistently. | User can reach export and diagnostics without hidden gestures.,Manual verification of setting toggles and persistence.,Settings screen approved by product and QA.,todo,,,,,
INT-001,EPIC-3,Sprint 3,Core Domain,P0,5,Implement category management and seeded default categories,Provide a flexible but opinionated classification framework for Indian consumers.,"Seed default categories such as Groceries, Food Delivery, Dining, Transport, Utilities, Healthcare, Shopping, Entertainment, Education, Personal Care, Household, Travel, and Miscellaneous. Support add/edit/delete/merge for user categories.",SET-004,Defaults are available on first launch. | User-created categories behave like first-class entities. | Category merge preserves historical transactions.,Category CRUD tests and migration seed tests.,Categories ready for classification flows.,todo,,,,,
INT-002,EPIC-3,Sprint 3,Core Domain,P0,8,Build merchant normalization and alias management pipeline,Collapse noisy merchant strings into stable merchant identities for reporting and suggestions.,"Implement deterministic normalization, alias table, manual merge/split controls, and fuzzy fallback only when deterministic match fails. Track provenance and confidence.","CAP-002, INT-001",Repeated merchant variants map to a single merchant entity when rules allow. | User corrections create aliases for future captures. | Unsafe low-confidence merges are surfaced for review instead of auto-applied.,Alias resolution tests with noisy merchant fixtures.,Merchant reports look stable on QA dataset.,todo,,,,,
INT-003,EPIC-3,Sprint 3,Core Domain,P0,8,"Implement rule engine for merchant, amount, and time-based suggestions",Reduce repetitive manual entry without using paid AI services.,"Create rule evaluator with explicit user rules first, then heuristic matching on merchant, amount bucket, hour bucket, and weekday. Return ranked suggestions and optional auto-apply for explicit rules only.",INT-002,Explicit user rules override history suggestions. | Rule priority and conflicts are deterministic. | Suggestions return top candidates with explanation metadata. | Auto-apply occurs only for user-approved rules.,Rule evaluation matrix tests for priority and conflicts.,Rule engine integrated into classify flows.,todo,,,,,
INT-004,EPIC-3,Sprint 4,Core Domain,P1,8,Implement history-based suggestion ranker,Make item suggestions improve over time using free on-device/server-safe logic.,"Build weighted ranking over merchant, amount bucket, hour bucket, weekday, recency, and frequency. Support local inference and optional server-side recompute for report enrichment.",INT-003,Suggestions improve after repeated confirmed classifications. | Ranker can explain its top factors for debug purposes. | No silent auto-save occurs from heuristic ranker alone.,Backtest on seeded user history and verify ranking expectations.,History-based suggestions meet acceptance benchmark.,todo,,,,,
